"","collector_name_s","date_mm_dd_yyyy","time_of_collection_hh_mm_24_hour_clock","route_shift","route_name","building_name","any_birds_found_on_route_shift","building_face_direction","species","found_dead_alive","bird_brought_to","picture_url_google_photos_album","notes","x14","x15","x16"
"54","Kira Long & Xing Liu",2019-09-17,18:10:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNomIe2RM66Rpv7Kfd9YEESTjLirADCR0V9tYv3?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Was a skull and feathers, not much left, took picture to document presence, was on north side of Chemical and Life Sciences laboratory (A)",NA,NA,NA
"55","Kelsey Low",2019-09-17,11:15:00,"AM","North Quad","Beckman Institute_228","Yes","North","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/VBhRYogpH6rPUYLq7",NA,NA,NA,NA
"56","Ilona Menel & Amy Anderson",2019-09-17,17:47:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMg_bewNuf8rYvTSX-01LY9J-85i5JuW6hIZTSL?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"57","Ilona Menel & Amy Anderson",2019-09-17,18:03:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","East","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMz8NegxeLIOzGVvdrrTDjFV2__VnoI4qQjwrBI?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"58","Ilona Menel & Amy Anderson",2019-09-17,18:10:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMqZCW0kTQqTQMbP9y7MhTm7deFdjAD3jbrgXak?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"59","Ilona Menel & Amy Anderson",2019-09-17,18:14:00,"PM","North Quad","Micro and Nanotechnology Laboratory_237","Yes","East","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipONs_P3_9V6lvPp55cWNad8huheIsba5Ojei47Q?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"60","Ilona Menel & Amy Anderson",2019-09-17,18:23:00,"PM","North Quad","Grainger Engineering Library Information Center_324","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOJ1iosJiTZgScrgOvfVBTaDEkVY9yfGll6H2lv?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"61","Ilona Menel & Amy Anderson",2019-09-17,17:54:00,"PM","North Quad","Beckman Institute_228","Yes","South","Chestnut-sided Warbler_Setophaga pensylvanica","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPkXJF-uUyOBtEttHOGmDbC-VSN5PeDbR4r1e-N?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOURL9VjmqNa3c7X3FXY91QTqDAFHc6TJTTGwbz?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"62","Ilona Menel & Amy Anderson",2019-09-17,17:55:00,"PM","North Quad","Beckman Institute_228","Yes","South","American Redstart_Setophaga ruticilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPNzKj-0vAqWuMSMSdmF6PBlxqQ8qr5U2u55YpD?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOp5aQ8MsHknV5dL-b12TBXdOrYGvVusqH5z8i0?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"63","Ilona Menel & Amy Anderson",2019-09-17,18:15:00,"PM","North Quad","Micro and Nanotechnology Laboratory_237","Yes","East","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNQhV8QvFByAZdMeqhV3XGIJmCRUBCQ-LFMcPAT?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNAPX46A1MqNntNCWoWNEgFdjGEwjlexejYyeO9?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"64","Rachel Skinner",2019-09-17,10:41:00,"AM","South Quad","Temple Hoyne Buell Hall_339","Yes","West","Blackpoll Warbler_Setophaga striata","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNS0DXmWoEUMF7fVRdBpdP72qkuJzpZ7-001IA9?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Collected outside of route hours",NA,NA,NA
"65","Rachel Skinner",2019-09-17,11:32:00,"AM","South Quad","Temple Hoyne Buell Hall_339","Yes","West","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipO0GG2nfBfjKS4FXxCGdqMYK9DfQqmWp0EeCKMm?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Collected outside of route hours",NA,NA,NA
"66","Rachel Skinner",2019-09-17,10:35:00,"AM","South Quad","Temple Hoyne Buell Hall_339","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Alive","Bird flew away","https://photos.google.com/photo/AF1QipPiE7MqAzvNjJfNbqh5wIguVBwro2GzERGJQG7m","seen outside of route hours",NA,NA,NA
"67","Donglai Li & Tianlin Pan",2019-09-17,17:10:00,"PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOHEsjXt8H4X9VBtsd8xe-L1XsK_Waa4M4-r0s?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","very new",NA,NA,NA
"68","Donglai Li & Tianlin Pan",2019-09-17,17:40:00,"PM","South Quad","Krannert Art Museum_220","Yes","South","Red-eyed Vireo_Vireo olivaceus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNFHHssy8FKOGP1rjPwG9lmN4yBZ-Vg11YxvX0?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","very new",NA,NA,NA
"69","Donglai Li",2019-09-17,NA,"PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNaB4K8j1dgnkWgFODSykeq3dGnzGF2cySf1uk?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","data line entered in by ABL",NA,NA,NA
"70","Shelby Lawson",2019-09-18,08:00:00,"AM","Main Quad","Burrill Hall_138","Yes","South","Magnolia Warbler_Setophaga magnolia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/onDqCWHxLRtVtdct5",NA,NA,NA,NA
"71","Xing Liu",2019-09-18,17:05:00,"PM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Ceci & Henry",2019-09-18,07:15:00,"AM","North Quad","Siebel Center for Computer Science_563","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Ceci & Henry",2019-09-18,07:31:00,"AM","North Quad","North Campus Parking Deck_1094","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Ceci & Henry",2019-09-18,07:47:00,"AM","North Quad","Beckman Institute_228","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Ceci & Henry",2019-09-18,08:01:00,"AM","North Quad","Coordinated Science Laboratory_148","Yes","West","Golden-winged Warbler_Vermivora chrysoptera","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMFSacOktqoLCahqbgtH_Z2JAxWN_876YqgT6BB?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"76","Ceci & Henry",2019-09-18,08:12:00,"AM","North Quad","Electrical and Computer Engineering_409","Yes","East","Brown Thrasher_Toxostoma rufum","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOrsGXFHpQVot0mvD2jnkQWVooOLvzvfqDCnbyq?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"77","Ceci & Henry",2019-09-18,08:29:00,"AM","North Quad","Micro and Nanotechnology Laboratory_237","Yes","East","Yellow Warbler_Setophaga petechia","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMxzIwp-s4Jg7sko90lcrDXisrnlA1x_Q70w-hG?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Very decomposed",NA,NA,NA
"78","Ceci & Henry",2019-09-18,08:42:00,"AM","North Quad","Grainger Engineering Library Information Center_324","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Ceci & Henry",2019-09-18,08:50:00,"AM","North Quad","Everitt Electrical & Computer Engineering Laboratory_37","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Ilona Menel & Amy Anderson",2019-09-18,17:47:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOVW9JL8NIGhvpMm14XUJaVq9zKBF44o7qDLORW?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"81","Ilona Menel & Amy Anderson",2019-09-18,17:49:00,"PM","North Quad","Beckman Institute_228","Yes","South","Black-and-white Warbler_Mniotilta varia","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMDG_HQs3BTUw9U01Peeu7ooGCYvCD3U3tQYAGw?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipN72fNf7AfsRjCtoU-RAr1ifI9Di_QjKYxVMlrn?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found at Beckman Pavilion, under west facing window (northwest corner of Pavilion)",NA,NA
"82","Ilona Menel & Amy Anderson",2019-09-18,17:49:00,"PM","North Quad","Beckman Institute_228","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOvm4sB_R4dMpRyXQ8wswdNGiNvtBSvPxTtQfQC?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipO1uJ3tADn8xRX5JZOByuLhJwO2N31UyuREAN9M?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found at Beckman Pavilion, under west facing window (northwest corner of Pavilion)",NA,NA
"83","Ilona Menel & Amy Anderson",2019-09-18,17:55:00,"PM","North Quad","Beckman Institute_228","Yes","South","Nashville Warbler_Oreothlypis ruficapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNDI9DZbuxHFn1cmCNuIrgMXCwnUKMF8NgOLZSH?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOM537m1GEppPuPo-3KXXfhxkPRXfuAxWks2sJT?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Found at Beckman Pavilion, under east facing window (northeast corner of Pavilion)",NA,NA
"84","Ilona Menel & Amy Anderson",2019-09-18,18:02:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","East","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMZsiy3Z_x3emA8LodxYITOKl0L60c5qeEwJYiT?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"85","Samantha Capel & Lynette Strickland",2019-09-18,07:45:00,"AM","South Quad","Agricultural Engineering Sciences Building_8","Yes","South","Unidentifiable","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/v5Wg1SHGBm1rNdeg9","Mostly eaten when found",NA,NA,NA
"86","Samantha Capel & Lynette Strickland",2019-09-18,08:00:00,"AM","South Quad","Temple Hoyne Buell Hall_339","Yes","South","Acadian Flycatcher_Empidonax virescens","Alive","Bird flew away","https://photos.app.goo.gl/4dkVRrVvFXx85tZY9; https://photos.app.goo.gl/wS9AYeEHnX5xVyLi9",NA,NA,NA,NA
"87","Samantha Capel & Lynette Strickland",2019-09-18,08:10:00,"AM","South Quad","Business Instructional Facility_1206","Yes","South","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/SVCgj1cdb5nwB3gcA; https://photos.app.goo.gl/LtvAaTgVha4ummTR6","Died within several hours",NA,NA,NA
"88","Alida de Flamingh & Tolu Stowe",2019-09-18,07:21:00,"AM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West","Swainson's Thrush_Catharus ustulatus","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.app.goo.gl/Fbx9j8319mZ9Cvsr6","We saw a lot of cat/raccoon poop, and evidence of scavenging",NA,NA,NA
"89","Donglai Li & Tianlin Pan",2019-09-18,17:10:00,"PM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Evalynn Trumbo & Shelby Lawson",2019-09-19,07:00:00,"AM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Kira Long & Caterina Kim",2019-09-19,18:10:00,"PM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Caterina Kim",2019-09-19,07:00:00,"AM","Main Quad","Center for Wounded Veterans, IGB, Morill, Chem+Life Sciences","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Yu-Fu Wu",2019-09-19,09:00:00,"AM","North Quad","Everitt Electrical & Computer Engineering Laboratory_37","Yes","North","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipN0f4iU8YDUEU2kmchwAwxZjBHd-JoSLkMAgG78?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNjsENKIEwnaCJ80Y8tUYWM7FQZtzkZmdVKGk_U?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"94","Ilona Menel & Amy Anderson",2019-09-19,17:47:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","South","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipN0yDcuExIBuMjNIz2fOSMrMrqfSb-cQ9Z-kaZ7?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipMh1PUG5CHCFCib45Q5-BjEgTpBaxO5Jm2euZEf?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"95","Lynette S. and Sam C.",2019-09-19,07:00:00,"AM","South Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Donglai Li & Tianlin Pan",2019-09-19,17:37:00,"PM","South Quad","Agricultural Engineering Sciences Building_8","Yes","West","Yellow-rumped Warbler_Setophaga coronata","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNv118ANduTgpnCCWhPx-wN_rWWHPpfl4msCQQx?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"97","Shelby Lawson",2019-09-20,08:00:00,"AM","Main Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Yu-Fu Wu",2019-09-20,09:00:00,"AM","North Quad","All Buildings of Route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Ilona Menel & Amy Anderson",2019-09-20,17:39:00,"PM","North Quad","Beckman Institute_228","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOjiKvw_RZVDJdKKQoLffeDR8H-tPD3oGNQ2zzG?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"100","Ilona Menel & Amy Anderson",2019-09-20,17:46:00,"PM","North Quad","Beckman Institute_228","Yes","South","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNnSJ8TBnBjyyaEI6DLeIMsOEqfapp--Uve250Q?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence; found at Northeast corner of Pavilion (east facing window)",NA,NA,NA
"101","Ilona Menel & Amy Anderson",2019-09-20,17:50:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","West","Bay-breasted Warbler_Setophaga castanea","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOgGvn27YryCaVQNUUqXWGortCV7fbjhrr7N0R7?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipN9pC8P5W-vw9kRyNSBKZpaEyZEHGCZ54DPOWkd?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"102","Ilona Menel & Amy Anderson",2019-09-20,17:55:00,"PM","North Quad","Coordinated Science Laboratory_148","Yes","West","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOHA0lNNCS_s1UU-qwt6j3yugEehK5_XLLnaBbI?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Bird was very old; took picture to document presence",NA,NA,NA
"103","Ilona Menel & Amy Anderson",2019-09-20,17:55:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","South","Tennessee Warbler_Oreothlypis peregrina","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipNUZOzJeGvIQuQnP8wCY3kHs6BpioeNM69f8j12?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipOJQuN0RU2NeUBZneCx6ndW6ELF7MCHROCvBxv2?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"104","Ilona Menel & Amy Anderson",2019-09-20,17:56:00,"PM","North Quad","Electrical and Computer Engineering_409","Yes","South","Ovenbird_Seiurus aurocapilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP1qQ1gdiRzQZE1qssMWiQsIzye938I-kiqkeAl?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipP2sfHmsLpF_qmHKGLojh7arDX3JOGGJk8tLef6?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA
"105","Alida de Flamingh & Tolu Stowe",2019-09-20,07:39:00,"AM","South Quad","Temple Hoyne Buell Hall_339","Yes","West","Wilson's Warbler_Cardellina pusilla","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipO1WVBbXt6IPQC8cEB7tygAS_cJNNp6IIx6T_hp?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Died very recently",NA,NA,NA
"106","Donglai Li & Tianlin Pan",2019-09-20,17:40:00,"PM","South Quad","Law Building_156","Yes","South","Blackpoll Warbler_Setophaga striata","Dead","Bird Survey Freezer (4th Floor Morrill Hall)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipN-PCH1Udp9t60GuyzTHxHaLNUb3xb3S71Cs9Wt?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR",NA,NA,NA,NA
"107","Evalynn Trumbo",2019-09-21,07:00:00,"AM","Main Quad","All buildings of route","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Kira Long",2019-09-21,18:00:00,"PM","Main Quad","Chemical & Life Sciences Laboratory_70","Yes","North","Unidentifiable","Dead","Did not pickup (explain in notes)","https://photos.google.com/share/AF1QipOGw0lAsnF6399eLAPzluBCtnrxBGjjear1i5tHglFz_iEIwmO4J-6KN0f0sUwWFg/photo/AF1QipPjrGCSkidT98w8O1h7edH1dmuQ5alnrJQhb6o9?key=VHFHNG9rcnBzdEktbUQ3SjZCZ1hScGd4bzNwbnJR","Not a whole specimen. Took picture to document presence, was on north side of Chemical and Life Sciences laboratory (A), near the other bird that was only skull and feathers",NA,NA,NA
